instances,feature_Mean_StdDevDist,feature_Centroid_X,feature_Centroid_Y,feature_Radius,feature_FracDistinctDists_1Digit,feature_FracDistinctDists_2Digits,feature_FracDistinctDists_3Digits,feature_FracDistinctDists_4Digits,feature_RectangularArea,feature_VarNormalised_nNNds,feature_CoeffvarNormalised_nNNds,feature_NumClusters,feature_CitiesModClusters,feature_VarCitiesPerCluster,feature_NumOutliers,feature_RatioNodesNearEdgesPlane,feature_MeanRadiusEachCluster,algo_CLK,algo_LKCC,source,Best
random_025,89.61444004,199.11,218.43,0.002,0.014,0.086,0.288,141.8895875,153260,0.000547947,57.5378151,2,0,2244.5,15,0.39,74.11554986,148578.0,16238.5,RANDOM,LKCC
LKCChard_086,93.81899052,161.65,188.33,0.0022,0.0151,0.0871,0.2827,146.5643683,152832,0.000507812,58.62422298,3,1,1201.0,10,0.44,67.1937673,385558.0,1174300.0,Hard_LKCC,CLK
LKCCeasy_020,93.93261596,190.79,189.2,149.8166084,0.002,0.014,0.0832,0.2859,147392,0.000507819,58.77131981,4,0,137.5833333,19,0.34,61.27200854,33827.1,105.495,Easy_LKCC,LKCC
LKCCeasy_028,98.56926969,174.65,213.9,160.6368745,0.0021,0.014,0.0831,0.2883,158004,0.000445727,53.17839666,1,0,0.0,1,0.57,159.6561064,14465.0,102.04,Easy_LKCC,LKCC
LKCChard_002,93.76409555,174.75,170.62,0.0023,0.0148,0.0928,0.2949,145.3940593,157212,0.000614355,71.92233807,1,0,0.0,10,0.36,135.0334372,264763.0,1172900.0,Hard_LKCC,CLK
LKCChard_170,84.2334882,219.43,215.59,0.0022,0.015,0.0931,0.2859,129.4364835,154842,0.000467874,60.96558908,2,0,760.5,9,0.25,83.86048126,220637.0,879327.0,Hard_LKCC,CLK
CLKhard_103,97.20494566,200.56,164.47,0.0019,0.0143,0.0892,0.2938,151.5398169,150495,0.000424282,65.50557485,4,0,241.6666667,10,0.15,51.47889688,1175680.0,181071.0,Hard_CLK,LKCC
CLKeasy_050,97.66551177,200.74,194.57,158.7576436,0.0015,0.013,0.0835,0.289,151710,0.00028411,34.68250412,1,0,0.0,0,0.73,158.7576436,6882.87,593.566,Easy_CLK,LKCC
CLKeasy_165,95.58788219,221.37,183.44,155.8701202,0.0018,0.0134,0.0818,0.2904,154830,0.000310742,41.15403457,1,0,0.0,7,0.68,153.0809395,10144.8,1115.84,Easy_CLK,LKCC
CLKeasy_068,96.34838997,192.01,205.78,156.983925,0.0019,0.0132,0.0798,0.2886,153639,0.000320884,41.50522265,1,0,0.0,1,0.72,156.252424,8617.72,566.909,Easy_CLK,LKCC
LKCCeasy_104,96.92553287,191.86,191.44,155.6915587,0.0019,0.0137,0.085,0.2913,157608,0.000568302,55.79358404,2,0,512.0,22,0.39,88.69572695,23538.3,104.131,Easy_LKCC,LKCC
CLKeasy_072,95.17055954,204.5,195.16,154.4961491,0.0017,0.0134,0.0812,0.2911,155236,0.000269511,35.63446459,1,0,0.0,0,0.76,154.4961491,7548.13,298.586,Easy_CLK,LKCC
CLKeasy_188,96.82251912,184.45,195.05,157.2726255,0.0018,0.0134,0.0829,0.2921,154424,0.000335665,43.6118066,1,0,0.0,0,0.64,157.2726255,7195.47,646.0,Easy_CLK,LKCC
LKCChard_097,101.6631964,179.1,176.81,0.0022,0.0153,0.0887,0.2986,156.9330136,150150,0.000539695,71.19887613,4,0,148.25,21,0.27,44.13971581,330351.0,1871800.0,Hard_LKCC,CLK
CLKhard_098,100.3039216,202.97,217.11,0.0023,0.0153,0.0836,0.2906,161.6532806,156807,0.000427324,72.78980933,6,4,118.7,19,0.24,36.10793893,1281000.0,144295.0,Hard_CLK,LKCC
LKCCeasy_108,94.22943571,201.64,190.59,152.906493,0.0022,0.0135,0.0819,0.2861,155235,0.000573415,56.26208869,2,0,1250.0,16,0.48,111.6174202,23761.8,110.273,Easy_LKCC,LKCC
CLKhard_119,97.89482681,213.96,199.64,0.0022,0.0149,0.0859,0.2884,157.5050698,149250,0.000400467,66.15623568,6,4,110.7,7,0.23,37.91011844,1262400.0,287423.0,Hard_CLK,LKCC
random_133,91.68205772,203.31,187.85,0.0022,0.0145,0.0859,0.2885,148.0578588,151317,0.000662669,67.10611532,1,0,0.0,5,0.46,145.1838405,132524.0,47010.7,RANDOM,LKCC
CLKeasy_144,92.49865361,187.61,202.47,150.3079728,0.0015,0.0131,0.0824,0.2859,149765,0.000136652,25.07599677,1,0,0.0,0,0.72,150.3079728,6121.81,1290.84,Easy_CLK,LKCC
LKCCeasy_162,97.44613702,189.25,180.0,158.0312,0.0018,0.0135,0.082,0.2938,157206,0.000445154,46.60988978,2,0,1352.0,12,0.57,97.03728968,19232.8,104.101,Easy_LKCC,LKCC
CLKeasy_146,93.29338856,189.4,190.87,151.5371931,0.0018,0.0132,0.0819,0.2872,152470,0.000401901,43.24397368,1,0,0.0,13,0.56,140.6969119,9118.56,1001.9,Easy_CLK,LKCC
LKCChard_066,83.43104504,188.29,188.73,0.0021,0.0149,0.0911,0.2805,128.2190025,153648,0.000451288,61.94632687,1,0,0.0,18,0.26,112.7816872,320485.0,1163640.0,Hard_LKCC,CLK
CLKhard_109,101.9190089,205.49,186.84,0.0024,0.0162,0.0869,0.2908,160.354153,156420,0.0004889,83.94238071,6,4,81.46666667,6,0.24,39.60119344,1740660.0,238665.0,Hard_CLK,LKCC
random_109,98.40243265,190.46,188.49,0.0022,0.0145,0.085,0.2964,158.2834622,158404,0.000670371,65.16072021,3,1,1366.333333,12,0.39,65.41147502,197868.0,34049.0,RANDOM,LKCC
